,Lemma,Decon,encode,,,,,,
0,ই,ই,e1,all,,,,,
1,ও,ও,e2,all,Noun,Proper,"Food, Person, sd  kdjfh ",,
2,কে,কে,o1,"noun, adj",,Verbal,,"খায়রুল, মুজিব, চার্লস",
3,কেই,কে+ই,o1.e1,,,..,,,
4,কেও,কে+ও,o1.e2,,,..,,,
5,কেসহ,কে+সহ,o1.i2,,,..,,,
6,গুলো,গুলো,p1,inflective,Verb (করিনি),tense,person,negation,
7,গুলোই,গুলো+ই,p1.e1,,করা (34),2,1,1,
8,গুলোও,গুলো+ও,p1.e2,,,,,,
9,গুলোকে,গুলো+কে,p1.o1,,,,,,"(34, 2, 1, 1)"
10,গুলোকেই,গুলো+কে+ই,p1.o1.e1,,,,,,
11,গুলোকেও,গুলো+কে+ও,p1.o1.e2,,,,,,
12,গুলোকেসহ,গুলো+কে+সহ,p1.o1.i4,,,,,,
13,গুলোতে,গুলো+তে,p1.c3,,,,,,
14,গুলোতেই,গুলো+তে+ই,p1.c3.e1,,খায়রুল সাহেবদেরটাই আমার পছন্দ হয়েছে।,,,,
15,গুলোতেও,গুলো+তে+ও,p1.c3.e2,,,,,,
16,গুলোয়,গুলো+য়,p1.c2,,,,,,
17,গুলোর,গুলো+র,p1.g1,,,,,,
18,গুলোরই,গুলো+র+ই,p1.g1.e1,,"(2, 1, 2, 0) (2, 1, 2, (g1, o1, p1 ), fkdjsf kjdh)",,,,
19,গুলোরও,গুলো+র+ও,p1.g1.e2,,,,,,
20,গুলোরটা,গুলো+র+টা,p1.g1.s1,,,,,,
21,গুলোরটাই,গুলো+র+টা+ই,p1.g1.s1.e1,,,,,,
22,গুলোরটাও,গুলো+র+টা+ও,p1.g1.s1.e2,,,,,,
23,গুলোরটাকে,গুলো+র+টা+কে,p1.g1.s1.o1,,,,,,
24,গুলোরটাকেই,গুলো+র+টা+কে+ই,p1.g1.s1.o1.e1,,,,,,
25,গুলোরটাকেও,গুলো+র+টা+কে+ও,p1.g1.s1.o1.e2,,,,,,
26,গুলোরটায়,গুলো+র+টা+য়,p1.g1.s1.c2,,,,,,
27,গুলোরটায়ই,গুলো+র+টা+য়+ই,p1.g1.s1.c2.e1,,,,,,
28,গুলোরটায়ও,গুলো+র+টা+য়+ও,p1.g1.s1.c2.e2,,,,,,
29,টা,টা,s2,inflective,,,,,
30,টাই,টা+ই,s2.e1,,,,,,
31,টাও,টা+ও,s2.e2,,,,,,
32,টাকে,টা+কে,s2.o1,,,,,,
33,টাকেই,টা+কে+ই,s2.o1.e1,,,,,,
34,টাকেও,টা+কে+ও,s2.o1.e2,,,,,,
35,টাকেসহ,টা+কে+সহ,s2.o1.i4,,,,,,
36,টাতে,টা+তে,s2.c3,,,,,,
37,টায়,টা+য়,s2.c2,,,,,,
38,টায়ই,টা+য়+ই,s2.c2.e1,,,,,,
39,টায়ও,টা+য়+ও,s2.c2.e2,,,,,,
40,টার,টা+র,s2.g1,,,,,,
41,টারই,টা+র+ই,s2.g1.e1,,,,,,
42,টারও,টা+র+ও,s2.g1.e2,,,,,,
43,টাসহ,টা+সহ,s2.i4,,,,,,
44,টি,টি,s1,,,,,,
45,টিই,টি+ই,s1.e1,,,,,,
46,টিও,টি+ও,s1.e2,,,,,,
47,টিকে,টি+কে,s1.o1,,,,,,
48,টিকেই,টি+কে+ই,s1.o1.e1,,,,,,
49,টিকেও,টি+কে+ও,s1.o1.e2,,,,,,
50,টিকেসহ,টি+কে+সহ,s1.o1.i4,,,,,,
51,টিতে,টি+তে,s1.c3,,,,,,
52,টিতেই,টি+তে+ই,s1.c3.e1,,,,,,
53,টিতেও,টি+তে+ও,s1.c3.e2,,,,,,
54,টির,টি+র,s1.g1,,,,,,
55,টিরই,টি+র+ই,s1.g1.e1,,,,,,
56,টিরও,টি+র+ও,s1.g1.e2,,,,,,
57,টিসহ,টি+সহ,s1.i4,,,,,,
58,তে,তে,c3,"noun, ","adj, conjunction, interjection, pronoun",,,,
59,তেই,তে+ই,c3.e1,,,,,,
60,তেও,তে+ও,c3.e2,,,,,,
61,দের,দের,g2,"noun, adj, ","conjunction, interjection, pronoun",,,,
62,দেরই,দের+ই,g2.e1,,,,,,
63,দেরও,দের+ও,g2.e2,,,,,,
64,দেরকে,দের+কে,g2.o1,,,,,,
65,দেরকেই,দের+কে+ই,g2.o1.e1,,,,,,
66,দেরকেও,দের+কে+ও,g2.o1.e2,,,,,,
67,দেরকেসহ,দের+কে+সহ,g2.o1.i4,,,,,,
68,দেরগুলো,দের+গুলো,g2.p1,,,,,,
69,দেরগুলোই,দের+গুলো+ই,g2.p1.e1,,,,,,
70,দেরগুলোও,দের+গুলো+ও,g2.p1.e2,,,,,,
71,দেরগুলোকে,দের+গুলো+কে,g2.p1.o1,,,,,,
72,দেরগুলোকেই,দের+গুলো+কে+ই,g2.p1.o1.e1,,,,,,
73,দেরগুলোকেও,দের+গুলো+কে+ও,g2.p1.o1.e2,,,,,,
74,দেরগুলোকেসহ,দের+গুলো+কে+সহ,g2.p1.o1.i4,,,,,,
75,দেরগুলোতে,দের+গুলো+তে,g2.p1.c3,,,,,,
76,দেরগুলোতেই,দের+গুলো+তে+ই,g2.p1.c3.e1,,,,,,
77,দেরগুলোতেও,দের+গুলো+তে+ও,g2.p1.c3.e2,,,,,,
78,দেরগুলোয়,দের+গুলো+য়,g2.p1.c2,,,,,,
79,দেরগুলোর,দের+গুলো+র,g2.p1.g1,,,,,,
80,দেরগুলোরই,দের+গুলো+র+ই,g2.p1.g1.e1,,,,,,
81,দেরগুলোরও,দের+গুলো+র+ও,g2.p1.g1.e2,,,,,,
82,দেরগুলোরটা,দের+গুলো+র+টা,g2.p1.g1.s1,,,,,,
83,দেরগুলোরটাই,দের+গুলো+র+টা+ই,g2.p1.g1.s1.e1,,,,,,
84,দেরগুলোরটাও,দের+গুলো+র+টা+ও,g2.p1.g1.s1.e2,,,,,,
85,দেরগুলোরটাকেই,দের+গুলো+র+টা+কে+ই,g2.p1.g1.s1.o1.e1,,,,,,
86,দেরগুলোরটাকেও,দের+গুলো+র+টা+কে+ও,g2.p1.g1.s1.o1.e2,,,,,,
87,দেরগুলোরটাতে,দের+গুলো+র+টা+তে,g2.p1.g1.s1.c3,,,,,,
88,দেরগুলোরটাতেই,দের+গুলো+র+টা+তে+ই,g2.p1.g1.s1.c3.e1,,,,,,
89,দেরগুলোরটাতেও,দের+গুলো+র+টা+তে+ও,g2.p1.g1.s1.c3.e2,,,,,,
90,দেরগুলোরটায়,দের+গুলো+র+টা+য়,g2.p1.g1.s1.c2,,,,,,
91,দেরগুলোরটায়ই,দের+গুলো+র+টা+য়+ই,g2.p1.g1.s1.c2.e1,,,,,,
92,দেরগুলোরটায়ও,দের+গুলো+র+টা+য়+ও,g2.p1.g1.s1.c2.e2,,,,,,
93,দেরগুলোরটি,দের+গুলো+র+টি,g2.p1.g1.s1,,,,,,
94,দেরগুলোরটিই,দের+গুলো+র+টি+ই,g2.p1.g1.s1.e1,,,,,,
95,দেরগুলোরটিও,দের+গুলো+র+টি+ও,g2.p1.g1.s1.e2,,,,,,
96,দেরগুলোরটিতে,দের+গুলো+র+টি+তে,g2.p1.g1.s1.c3,,,,,,
97,দেরগুলোরটিতেই,দের+গুলো+র+টি+তে+ই,g2.p1.g1.s1.c3.e1,,,,,,
98,দেরগুলোরটিতেও,দের+গুলো+র+টি+তে+ও,g2.p1.g1.s1.c3.e2,,,,,,
99,দেরগুলোসহ,দের+গুলো+সহ,g2.p1.i4,,,,,,
100,দেরটা,দের+টা,g2.s1,,,,,,
101,দেরটাই,দের+টা+ই,g2.s1.e1,,,,,,
102,দেরটাও,দের+টা+ও,g2.s1.e2,,,,,,
103,দেরটাকে,দের+টা+কে,g2.s1.o1,,,,,,
